,Median_Household_Income_2019
0,"65,712"
1000,"51,771"
1001,"58,233"
1003,"59,871"
1005,"35,972"
1007,"47,918"
1009,"52,902"
1011,"31,906"
1013,"39,944"
1015,"47,747"
1017,"42,015"
1019,"45,982"
1021,"49,692"
1023,"39,808"
1025,"43,822"
1027,"40,562"
1029,"51,276"
1031,"57,299"
1033,"46,683"
1035,"41,539"
1037,"42,024"
1039,"44,836"
1041,"43,309"
1043,"50,897"
1045,"45,120"
1047,"34,034"
1049,"44,277"
1051,"62,310"
1053,"42,712"
1055,"43,047"
1057,"44,212"
1059,"44,874"
1061,"43,089"
1063,"28,699"
1065,"40,745"
1067,"48,597"
1069,"50,138"
1071,"44,322"
1073,"54,127"
1075,"42,686"
1077,"48,188"
1079,"47,797"
1081,"54,160"
1083,"64,729"
1085,"33,930"
1087,"34,281"
1089,"68,609"
1091,"38,838"
1093,"44,675"
1095,"48,913"
1097,"49,492"
1099,"40,005"
1101,"52,711"
1103,"54,355"
1105,"29,572"
1107,"40,249"
1109,"41,271"
1111,"42,922"
1113,"43,670"
1115,"65,403"
1117,"77,801"
1119,"29,209"
1121,"47,719"
1123,"47,100"
1125,"52,307"
1127,"45,991"
1129,"48,864"
1131,"30,998"
1133,"40,827"
2000,"77,203"
2013,"66,923"
2016,"84,726"
2020,"82,512"
2050,"48,262"
2060,"87,950"
2068,"78,434"
2070,"57,436"
2090,"74,076"
2100,"62,548"
2105,"53,141"
2110,"85,419"
2122,"68,625"
2130,"75,706"
2150,"79,669"
2158,"35,369"
2164,"51,693"
2170,"75,856"
2180,"58,464"
2185,"84,784"
2188,"61,660"
2195,"71,296"
2198,"50,049"
2201,
2220,"80,660"
2230,"74,898"
2232,
2240,"69,646"
2261,"74,574"
2275,"62,496"
2280,
2282,"61,587"
2290,"42,063"
4000,"62,027"
4001,"35,386"
4003,"48,650"
4005,"58,301"
4007,"45,980"
4009,"50,685"
4011,"68,066"
4012,"39,407"
4013,"68,634"
4015,"49,712"
4017,"40,676"
4019,"56,150"
4021,"62,067"
4023,"47,779"
4025,"54,242"
4027,"47,024"
5000,"49,020"
5001,"52,539"
5003,"47,744"
5005,"41,950"
5007,"70,775"
5009,"50,083"
5011,"39,982"
5013,"48,415"
5015,"43,841"
5017,"37,014"
5019,"44,105"
5021,"40,686"
5023,"46,214"
5025,"53,773"
5027,"42,964"
5029,"46,924"
5031,"47,766"
5033,"44,600"
5035,"41,976"
5037,"45,273"
5039,"41,314"
5041,"37,005"
5043,"44,162"
5045,"58,482"
5047,"45,670"
5049,"32,926"
5051,"45,786"
5053,"58,566"
5055,"47,098"
5057,"40,867"
5059,"45,860"
5061,"41,427"
5063,"47,903"
5065,"40,233"
5067,"38,636"
5069,"40,555"
5071,"40,396"
5073,"37,164"
5075,"39,604"
5077,"30,421"
5079,"44,272"
5081,"43,257"
5083,"42,249"
5085,"62,782"
5087,"48,016"
5089,"38,760"
5091,"50,905"
5093,"39,990"
5095,"34,289"
5097,"39,591"
5099,"36,528"
5101,"37,648"
5103,"46,393"
5105,"50,560"
5107,"31,521"
5109,"44,426"
5111,"40,536"
5113,"39,722"
5115,"47,519"
5117,"46,205"
5119,"52,684"
5121,"42,875"
5123,"34,389"
5125,"66,944"
5127,"38,065"
5129,"34,712"
5131,"48,945"
5133,"43,493"
5135,"37,591"
5137,"36,930"
5139,"46,602"
5141,"38,096"
5143,"52,158"
5145,"46,388"
5147,"36,568"
5149,"44,469"
6000,"80,423"
6001,"107,589"
